page_va,executable,before_sha256,after_sha256,before_nonzero,after_nonzero,change_reason,before_permissions,permissions
0x1018d000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d55ff52e6dd4dc534793fc7b59a373ed99bea92a4107a651322b5fc625884c04,False,True,executable_page_changed,7,7
0x1018e000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,429b64d418399c074f1fdadcc3362c0de2b27a1c31e2364bddc818ef2f407d7e,False,True,executable_page_changed,7,7
0x1018f000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,7e4fc32d360a0b7f48aa582c38c29533131b6a8026faf53c76e51e885437bb14,False,True,executable_page_changed,7,7
0x10190000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,669f0f3a26f68ac5176e10e573e9a057e8fe9f05e0c681f5e31fd0649631372c,False,True,executable_page_changed,7,7
0x10191000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,26526d31ad2d96557c18e6ca77adb9cd28a370010a5c61ceffb31dad195d24e5,False,True,executable_page_changed,7,7
0x10192000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d48b339753c389dc55b7632ffe104717095b3847ec82d0fba4c4a36c7f463ec0,False,True,executable_page_changed,7,7
0x10193000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b8727ffbdcbc53a30aef126f6be4fe3ee5132956305a2ac0b1ce9f0424a80275,False,True,executable_page_changed,7,7
0x10194000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,684e93658d567c59bdf51376c851ddd80f7cd3893f3e2302085e84ed8448b921,False,True,executable_page_changed,7,7
0x10195000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,e8d926ca25e5184bb457659411027cadad8e8e6ea757e4602cb5d9cdd1d0a4c7,False,True,executable_page_changed,7,7
0x10196000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ada15d537b5b47febb3a96d0d413a563d6687bbe7ff4d72e3e992674cadc3e81,False,True,executable_page_changed,7,7
0x10197000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,130b1688f8d2d10ecebe760ade9f990d2d76ee0bcfd7440999b79e8ae4624747,False,True,executable_page_changed,7,7
0x10198000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,8fbd97fd1bd73fe1b6ac2b48a85cdaf03e5376cf7e9431712cc9a3d6ab5ce667,False,True,executable_page_changed,7,7
0x10199000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,bd264b6d14ba2366aee5517a7ac9e3424332ed48d2f9b7a7a51b69b2ad507c73,False,True,executable_page_changed,7,7
