equation_id,frames,coverage,invalid_lengths,resync_distance,tail,score,survives_train,confidence,reason
eq01848,34,0.9969,866,866,236,73.082,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02132,34,0.9969,866,866,237,73.082,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02136,34,0.9969,866,866,237,73.082,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00836,34,0.9969,867,867,235,73.08,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00841,34,0.9969,867,867,235,73.08,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01124,34,0.9969,867,867,236,73.08,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01129,34,0.9969,867,867,236,73.08,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01340,34,0.9969,867,867,237,73.08,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01345,34,0.9969,867,867,237,73.08,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00404,34,0.9969,868,868,235,73.078,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00410,34,0.9969,868,868,235,73.078,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00620,34,0.9969,868,868,236,73.078,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00626,34,0.9969,868,868,236,73.078,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00188,34,0.9969,869,869,235,73.076,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00195,34,0.9969,869,869,235,73.076,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02348,34,0.9968,866,866,238,73.076,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02352,34,0.9968,866,866,238,73.076,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01539,33,0.9985,919,919,112,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01543,33,0.9985,919,919,112,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
