model_id,frame_index,stream_offset_start,stream_offset_end,header_size,frame_len,confidence,reason
fm03614,8,1029,1284,16,255,medium,frame tiling diagnostic metadata only
fm03614,9,1284,1529,16,245,medium,frame tiling diagnostic metadata only
fm03614,10,1529,1736,16,207,medium,frame tiling diagnostic metadata only
fm03614,11,1736,1836,16,100,medium,frame tiling diagnostic metadata only
fm03614,12,1836,1861,16,25,medium,frame tiling diagnostic metadata only
fm03614,13,1861,2051,16,190,medium,frame tiling diagnostic metadata only
fm03614,14,2051,2099,16,48,medium,frame tiling diagnostic metadata only
fm03614,15,2099,2353,16,254,medium,frame tiling diagnostic metadata only
fm03614,16,2353,2381,16,28,medium,frame tiling diagnostic metadata only
fm03614,17,2381,2575,16,194,medium,frame tiling diagnostic metadata only
fm03614,18,2575,2765,16,190,medium,frame tiling diagnostic metadata only
fm03614,19,2765,3020,16,255,medium,frame tiling diagnostic metadata only
fm03614,20,3020,3150,16,130,medium,frame tiling diagnostic metadata only
fm03614,21,3150,3170,16,20,medium,frame tiling diagnostic metadata only
fm03614,22,3170,3307,16,137,medium,frame tiling diagnostic metadata only
fm03614,23,3307,3497,16,190,medium,frame tiling diagnostic metadata only
fm03614,24,3497,3538,16,41,medium,frame tiling diagnostic metadata only
fm03615,0,0,118,16,118,medium,frame tiling diagnostic metadata only
fm03615,1,118,276,16,158,medium,frame tiling diagnostic metadata only
fm03615,2,276,517,16,241,medium,frame tiling diagnostic metadata only
fm03615,3,517,538,16,21,medium,frame tiling diagnostic metadata only
fm03615,4,538,608,16,70,medium,frame tiling diagnostic metadata only
fm03615,5,608,706,16,98,medium,frame tiling diagnostic metadata only
fm03615,6,706,854,16,148,medium,frame tiling diagnostic metadata only
fm03615,7,854,1029,16,175,medium,frame tiling diagnostic metadata only
fm03615,8,1029,1284,16,255,medium,frame tiling diagnostic metadata only
fm03615,9,1284,1529,16,245,medium,frame tiling diagnostic metadata only
fm03615,10,1529,1736,16,207,medium,frame tiling diagnostic metadata only
fm03615,11,1736,1836,16,100,medium,frame tiling diagnostic metadata only
fm03615,12,1836,1861,16,25,medium,frame tiling diagnostic metadata only
fm03615,13,1861,2051,16,190,medium,frame tiling diagnostic metadata only
fm03615,14,2051,2099,16,48,medium,frame tiling diagnostic metadata only
fm03615,15,2099,2353,16,254,medium,frame tiling diagnostic metadata only
fm03615,16,2353,2381,16,28,medium,frame tiling diagnostic metadata only
fm03615,17,2381,2575,16,194,medium,frame tiling diagnostic metadata only
fm03615,18,2575,2765,16,190,medium,frame tiling diagnostic metadata only
fm03615,19,2765,3020,16,255,medium,frame tiling diagnostic metadata only
fm03615,20,3020,3150,16,130,medium,frame tiling diagnostic metadata only
fm03615,21,3150,3170,16,20,medium,frame tiling diagnostic metadata only
fm03615,22,3170,3307,16,137,medium,frame tiling diagnostic metadata only
fm03615,23,3307,3497,16,190,medium,frame tiling diagnostic metadata only
fm03615,24,3497,3538,16,41,medium,frame tiling diagnostic metadata only
fm03218,0,0,131,16,131,medium,frame tiling diagnostic metadata only
fm03218,1,131,289,16,158,medium,frame tiling diagnostic metadata only
fm03218,2,289,530,16,241,medium,frame tiling diagnostic metadata only
fm03218,3,530,551,16,21,medium,frame tiling diagnostic metadata only
fm03218,4,551,621,16,70,medium,frame tiling diagnostic metadata only
fm03218,5,621,719,16,98,medium,frame tiling diagnostic metadata only
fm03218,6,719,867,16,148,medium,frame tiling diagnostic metadata only
fm03218,7,867,1042,16,175,medium,frame tiling diagnostic metadata only
fm03218,8,1042,1297,16,255,medium,frame tiling diagnostic metadata only
fm03218,9,1297,1542,16,245,medium,frame tiling diagnostic metadata only
fm03218,10,1542,1749,16,207,medium,frame tiling diagnostic metadata only
fm03218,11,1749,1849,16,100,medium,frame tiling diagnostic metadata only
fm03218,12,1849,1874,16,25,medium,frame tiling diagnostic metadata only
fm03218,13,1874,2064,16,190,medium,frame tiling diagnostic metadata only
fm03218,14,2064,2112,16,48,medium,frame tiling diagnostic metadata only
fm03218,15,2112,2366,16,254,medium,frame tiling diagnostic metadata only
fm03218,16,2366,2394,16,28,medium,frame tiling diagnostic metadata only
fm03218,17,2394,2588,16,194,medium,frame tiling diagnostic metadata only
fm03218,18,2588,2778,16,190,medium,frame tiling diagnostic metadata only
fm03218,19,2778,3033,16,255,medium,frame tiling diagnostic metadata only
fm03218,20,3033,3163,16,130,medium,frame tiling diagnostic metadata only
fm03218,21,3163,3183,16,20,medium,frame tiling diagnostic metadata only
fm03218,22,3183,3320,16,137,medium,frame tiling diagnostic metadata only
fm03218,23,3320,3510,16,190,medium,frame tiling diagnostic metadata only
fm03218,24,3510,3551,16,41,medium,frame tiling diagnostic metadata only
fm03219,0,0,131,16,131,medium,frame tiling diagnostic metadata only
fm03219,1,131,289,16,158,medium,frame tiling diagnostic metadata only
fm03219,2,289,530,16,241,medium,frame tiling diagnostic metadata only
fm03219,3,530,551,16,21,medium,frame tiling diagnostic metadata only
fm03219,4,551,621,16,70,medium,frame tiling diagnostic metadata only
fm03219,5,621,719,16,98,medium,frame tiling diagnostic metadata only
fm03219,6,719,867,16,148,medium,frame tiling diagnostic metadata only
fm03219,7,867,1042,16,175,medium,frame tiling diagnostic metadata only
fm03219,8,1042,1297,16,255,medium,frame tiling diagnostic metadata only
fm03219,9,1297,1542,16,245,medium,frame tiling diagnostic metadata only
fm03219,10,1542,1749,16,207,medium,frame tiling diagnostic metadata only
fm03219,11,1749,1849,16,100,medium,frame tiling diagnostic metadata only
fm03219,12,1849,1874,16,25,medium,frame tiling diagnostic metadata only
fm03219,13,1874,2064,16,190,medium,frame tiling diagnostic metadata only
fm03219,14,2064,2112,16,48,medium,frame tiling diagnostic metadata only
fm03219,15,2112,2366,16,254,medium,frame tiling diagnostic metadata only
fm03219,16,2366,2394,16,28,medium,frame tiling diagnostic metadata only
fm03219,17,2394,2588,16,194,medium,frame tiling diagnostic metadata only
fm03219,18,2588,2778,16,190,medium,frame tiling diagnostic metadata only
fm03219,19,2778,3033,16,255,medium,frame tiling diagnostic metadata only
fm03219,20,3033,3163,16,130,medium,frame tiling diagnostic metadata only
fm03219,21,3163,3183,16,20,medium,frame tiling diagnostic metadata only
fm03219,22,3183,3320,16,137,medium,frame tiling diagnostic metadata only
fm03219,23,3320,3510,16,190,medium,frame tiling diagnostic metadata only
fm03219,24,3510,3551,16,41,medium,frame tiling diagnostic metadata only
fm03222,0,0,131,16,131,medium,frame tiling diagnostic metadata only
fm03222,1,131,289,16,158,medium,frame tiling diagnostic metadata only
fm03222,2,289,530,16,241,medium,frame tiling diagnostic metadata only
fm03222,3,530,551,16,21,medium,frame tiling diagnostic metadata only
fm03222,4,551,621,16,70,medium,frame tiling diagnostic metadata only
fm03222,5,621,719,16,98,medium,frame tiling diagnostic metadata only
fm03222,6,719,867,16,148,medium,frame tiling diagnostic metadata only
fm03222,7,867,1042,16,175,medium,frame tiling diagnostic metadata only
fm03222,8,1042,1297,16,255,medium,frame tiling diagnostic metadata only
fm03222,9,1297,1542,16,245,medium,frame tiling diagnostic metadata only
fm03222,10,1542,1749,16,207,medium,frame tiling diagnostic metadata only
fm03222,11,1749,1849,16,100,medium,frame tiling diagnostic metadata only
fm03222,12,1849,1874,16,25,medium,frame tiling diagnostic metadata only
fm03222,13,1874,2064,16,190,medium,frame tiling diagnostic metadata only
fm03222,14,2064,2112,16,48,medium,frame tiling diagnostic metadata only
fm03222,15,2112,2366,16,254,medium,frame tiling diagnostic metadata only
fm03222,16,2366,2394,16,28,medium,frame tiling diagnostic metadata only
fm03222,17,2394,2588,16,194,medium,frame tiling diagnostic metadata only
fm03222,18,2588,2778,16,190,medium,frame tiling diagnostic metadata only
fm03222,19,2778,3033,16,255,medium,frame tiling diagnostic metadata only
fm03222,20,3033,3163,16,130,medium,frame tiling diagnostic metadata only
fm03222,21,3163,3183,16,20,medium,frame tiling diagnostic metadata only
fm03222,22,3183,3320,16,137,medium,frame tiling diagnostic metadata only
fm03222,23,3320,3510,16,190,medium,frame tiling diagnostic metadata only
fm03222,24,3510,3551,16,41,medium,frame tiling diagnostic metadata only
fm03223,0,0,131,16,131,medium,frame tiling diagnostic metadata only
fm03223,1,131,289,16,158,medium,frame tiling diagnostic metadata only
fm03223,2,289,530,16,241,medium,frame tiling diagnostic metadata only
fm03223,3,530,551,16,21,medium,frame tiling diagnostic metadata only
fm03223,4,551,621,16,70,medium,frame tiling diagnostic metadata only
fm03223,5,621,719,16,98,medium,frame tiling diagnostic metadata only
fm03223,6,719,867,16,148,medium,frame tiling diagnostic metadata only
fm03223,7,867,1042,16,175,medium,frame tiling diagnostic metadata only
fm03223,8,1042,1297,16,255,medium,frame tiling diagnostic metadata only
fm03223,9,1297,1542,16,245,medium,frame tiling diagnostic metadata only
fm03223,10,1542,1749,16,207,medium,frame tiling diagnostic metadata only
fm03223,11,1749,1849,16,100,medium,frame tiling diagnostic metadata only
fm03223,12,1849,1874,16,25,medium,frame tiling diagnostic metadata only
fm03223,13,1874,2064,16,190,medium,frame tiling diagnostic metadata only
fm03223,14,2064,2112,16,48,medium,frame tiling diagnostic metadata only
fm03223,15,2112,2366,16,254,medium,frame tiling diagnostic metadata only
fm03223,16,2366,2394,16,28,medium,frame tiling diagnostic metadata only
fm03223,17,2394,2588,16,194,medium,frame tiling diagnostic metadata only
fm03223,18,2588,2778,16,190,medium,frame tiling diagnostic metadata only
fm03223,19,2778,3033,16,255,medium,frame tiling diagnostic metadata only
fm03223,20,3033,3163,16,130,medium,frame tiling diagnostic metadata only
fm03223,21,3163,3183,16,20,medium,frame tiling diagnostic metadata only
fm03223,22,3183,3320,16,137,medium,frame tiling diagnostic metadata only
fm03223,23,3320,3510,16,190,medium,frame tiling diagnostic metadata only
fm03223,24,3510,3551,16,41,medium,frame tiling diagnostic metadata only
fm03612,0,0,118,16,118,medium,frame tiling diagnostic metadata only
fm03612,1,118,276,16,158,medium,frame tiling diagnostic metadata only
fm03612,2,276,517,16,241,medium,frame tiling diagnostic metadata only
