oracle_id,channel,flow_role,server_port,direction,window_model,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,confidence,reason
o004,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,C2S,pm5,535,535,1,22,902,924,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,C2S,pm10,525,535,2,44,880,924,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,S2C,exact_second,619,619,1,117,146676,146793,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,S2C,pm1_5,619,619,1,117,146676,146793,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,S2C,pm3,615,623,4,223,146606,146829,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,S2C,pm5,611,625,7,329,146570,146899,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,S2C,pm10,603,635,14,557,146448,147005,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,S2C,pm5,627,627,1,131,2038,2169,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,S2C,pm10,627,627,1,131,2038,2169,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,C2S,pm3,617,617,1,22,1012,1034,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,C2S,pm5,617,617,1,22,1012,1034,high,authoritative oracle interval/window stream metadata
o005,whisper,side_control,10242,C2S,pm10,617,629,2,44,1012,1056,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,S2C,exact_second,637,637,1,117,147005,147122,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,S2C,pm1_5,637,637,1,117,147005,147122,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,S2C,pm3,637,643,4,223,147005,147228,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,S2C,pm5,631,643,7,329,146899,147228,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,S2C,pm10,625,653,11,505,146829,147334,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,S2C,pm5,645,645,1,205,2169,2374,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,S2C,pm10,627,645,2,336,2038,2374,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,C2S,pm5,647,647,1,22,1056,1078,high,authoritative oracle interval/window stream metadata
o006,whisper,side_control,10242,C2S,pm10,629,647,2,44,1034,1078,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,S2C,exact_second,698,702,3,169,147995,148164,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,S2C,pm1_5,698,706,4,239,147995,148234,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,S2C,pm3,698,706,4,239,147995,148234,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,S2C,pm5,698,706,4,239,147995,148234,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,S2C,pm10,682,712,11,668,147672,148340,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,S2C,exact_second,704,704,1,179,2949,3128,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,S2C,pm1_5,704,704,1,179,2949,3128,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,S2C,pm3,694,704,3,547,2581,3128,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,S2C,pm5,690,704,4,754,2374,3128,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,S2C,pm10,690,704,4,754,2374,3128,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,C2S,pm5,692,692,1,22,1122,1144,high,authoritative oracle interval/window stream metadata
o007,whisper,side_control,10242,C2S,pm10,692,714,2,44,1122,1166,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,S2C,exact_second,716,716,1,133,148340,148473,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,S2C,pm1_5,716,716,1,133,148340,148473,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,S2C,pm3,716,722,4,239,148340,148579,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,S2C,pm5,708,722,7,345,148234,148579,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,S2C,pm10,706,732,11,521,148164,148685,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,S2C,pm10,704,730,2,438,2949,3387,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,C2S,pm5,714,714,1,22,1144,1166,high,authoritative oracle interval/window stream metadata
o008,whisper,side_control,10242,C2S,pm10,714,724,2,44,1144,1188,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,S2C,exact_second,750,750,1,87,148791,148878,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,S2C,pm1_5,750,750,1,87,148791,148878,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,S2C,pm3,750,750,1,87,148791,148878,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,S2C,pm5,750,750,1,87,148791,148878,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,S2C,pm10,750,750,1,87,148791,148878,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
