frame,time_local,direction,src_ip,src_port,dst_ip,dst_port,tcp_len,near_marker,role_guess
101,2026-07-13 17:24:45.628,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
102,2026-07-13 17:24:46.171,S2C,51.83.147.97,10242,192.168.178.127,57497,243,,chat_sidechannel_candidate
103,2026-07-13 17:24:46.171,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
104,2026-07-13 17:24:55.598,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
105,2026-07-13 17:24:55.629,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
106,2026-07-13 17:25:05.599,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
107,2026-07-13 17:25:05.628,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
108,2026-07-13 17:25:13.686,S2C,51.83.147.97,10242,192.168.178.127,57497,273,,chat_sidechannel_candidate
109,2026-07-13 17:25:13.686,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
110,2026-07-13 17:25:15.600,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
111,2026-07-13 17:25:15.629,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
112,2026-07-13 17:25:25.601,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
113,2026-07-13 17:25:25.630,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
114,2026-07-13 17:25:35.094,S2C,51.83.147.97,10242,192.168.178.127,57497,223,S2C_ORACLE_004_REPEATG,chat_sidechannel_candidate
115,2026-07-13 17:25:35.094,C2S,192.168.178.127,57497,51.83.147.97,10242,0,S2C_ORACLE_004_REPEATG,chat_sidechannel_candidate
116,2026-07-13 17:25:35.601,C2S,192.168.178.127,57497,51.83.147.97,10242,22,S2C_ORACLE_004_REPEATG,chat_sidechannel_candidate
117,2026-07-13 17:25:35.629,S2C,51.83.147.97,10242,192.168.178.127,57497,0,S2C_ORACLE_004_REPEATG,chat_sidechannel_candidate
118,2026-07-13 17:25:45.602,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
119,2026-07-13 17:25:45.633,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
120,2026-07-13 17:25:55.602,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
121,2026-07-13 17:25:55.633,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
122,2026-07-13 17:26:05.603,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
123,2026-07-13 17:26:05.633,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
