oracle_id,channel,flow_role,server_port,direction,window_sec,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,largest_packet_len,confidence,reason
o008,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,10,730,730,1,259,3128,3387,259,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,nearest,714,714,1,22,1144,1166,22,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,5,714,714,1,22,1144,1166,22,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,10,714,724,2,44,1144,1188,22,high,oracle stream window metadata only
o009,group,world,7780,S2C,nearest,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,1,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,3,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,5,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,10,750,758,3,304,148791,149095,186,high,oracle stream window metadata only
o009,group,world,7780,C2S,nearest,764,764,1,7,482,489,7,high,oracle stream window metadata only
o009,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o009,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o009,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o009,group,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o009,group,event_side,10242,S2C,nearest,754,754,1,209,3984,4193,209,high,oracle stream window metadata only
o009,group,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o009,group,event_side,10242,S2C,3,754,754,1,209,3984,4193,209,high,oracle stream window metadata only
o009,group,event_side,10242,S2C,5,754,754,1,209,3984,4193,209,high,oracle stream window metadata only
o009,group,event_side,10242,S2C,10,754,754,1,209,3984,4193,209,high,oracle stream window metadata only
o009,group,event_side,10242,C2S,nearest,752,752,1,22,1232,1254,22,high,oracle stream window metadata only
o009,group,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o009,group,event_side,10242,C2S,3,752,752,1,22,1232,1254,22,high,oracle stream window metadata only
o009,group,event_side,10242,C2S,5,752,752,1,22,1232,1254,22,high,oracle stream window metadata only
o009,group,event_side,10242,C2S,10,748,752,2,44,1210,1254,22,high,oracle stream window metadata only
o010,group,world,7780,S2C,nearest,762,762,1,87,149095,149182,87,high,oracle stream window metadata only
o010,group,world,7780,S2C,1,762,762,1,87,149095,149182,87,high,oracle stream window metadata only
o010,group,world,7780,S2C,3,762,762,1,87,149095,149182,87,high,oracle stream window metadata only
o010,group,world,7780,S2C,5,762,762,1,87,149095,149182,87,high,oracle stream window metadata only
o010,group,world,7780,S2C,10,756,762,3,304,148878,149182,186,high,oracle stream window metadata only
o010,group,world,7780,C2S,nearest,764,764,1,7,482,489,7,high,oracle stream window metadata only
