flow_id,server_ip,server_port,client_ip,client_port,packets,total_tcp_payload_bytes,s2c_packets,c2s_packets,s2c_payload_bytes,c2s_payload_bytes,first_time,last_time,duration_sec,role_guess,confidence,reason
192.168.178.127:59607<->116.203.174.73:443,116.203.174.73,443,192.168.178.127,59607,25,1998,10,15,1052,946,2026-07-13 19:31:17.993,2026-07-13 19:31:30.557,12.564,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50534<->172.64.148.235:443,172.64.148.235,443,192.168.178.127,50534,112,1456,56,56,672,784,2026-07-13 19:23:30.114,2026-07-13 19:32:30.115,540.001,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:58705<->104.18.39.21:443,104.18.39.21,443,192.168.178.127,58705,112,1456,56,56,672,784,2026-07-13 19:23:35.434,2026-07-13 19:32:35.434,540.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49325<->104.18.39.21:443,104.18.39.21,443,192.168.178.127,49325,112,1456,56,56,672,784,2026-07-13 19:23:40.420,2026-07-13 19:32:40.422,540.002,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49717<->108.130.186.25:443,108.130.186.25,443,192.168.178.127,49717,17,1349,7,10,947,402,2026-07-13 19:32:18.015,2026-07-13 19:32:18.115,0.101,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50975<->108.130.186.25:443,108.130.186.25,443,192.168.178.127,50975,16,1315,7,9,925,390,2026-07-13 19:32:18.014,2026-07-13 19:32:18.115,0.102,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:65017<->9.141.2.80:443,9.141.2.80,443,192.168.178.127,65017,42,1274,14,28,560,714,2026-07-13 19:23:58.645,2026-07-13 19:32:38.659,520.013,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50478<->140.82.114.26:443,140.82.114.26,443,192.168.178.127,50478,62,1267,31,31,591,676,2026-07-13 19:23:32.491,2026-07-13 19:32:32.581,540.090,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:62484<->104.18.39.21:443,104.18.39.21,443,192.168.178.127,62484,98,1254,49,49,593,661,2026-07-13 19:23:27.416,2026-07-13 19:30:39.981,432.564,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:60091<->52.123.134.243:443,52.123.134.243,443,192.168.178.127,60091,39,1183,13,26,520,663,2026-07-13 19:24:02.627,2026-07-13 19:32:02.635,480.008,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57426<->35.190.80.1:443,35.190.80.1,443,192.168.178.127,57426,28,903,13,15,830,73,2026-07-13 19:25:11.959,2026-07-13 19:31:57.131,405.172,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:51753<->116.203.174.73:443,116.203.174.73,443,192.168.178.127,51753,25,886,11,14,682,204,2026-07-13 19:28:17.996,2026-07-13 19:29:18.034,60.038,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:56744<->116.203.174.73:443,116.203.174.73,443,192.168.178.127,56744,15,568,11,4,567,1,2026-07-13 19:24:03.182,2026-07-13 19:25:09.996,66.813,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:61780<->108.130.186.25:443,108.130.186.25,443,192.168.178.127,61780,16,411,7,9,347,64,2026-07-13 19:27:18.002,2026-07-13 19:27:56.548,38.546,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63004<->146.75.118.172:80,146.75.118.172,80,192.168.178.127,63004,6,281,0,0,0,0,2026-07-13 19:28:02.498,2026-07-13 19:29:02.591,60.093,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54258<->172.211.123.248:443,172.211.123.248,443,192.168.178.127,54258,5,277,2,3,173,104,2026-07-13 19:26:09.855,2026-07-13 19:29:39.688,209.833,ignored_external_noise,low,not a EuroAion world/chat/login candidate
142.251.13.94:80<->192.168.178.127:63005,192.168.178.127,63005,142.251.13.94,80,4,222,0,0,0,0,2026-07-13 19:28:02.555,2026-07-13 19:29:02.591,60.036,ignored_external_noise,low,not a EuroAion world/chat/login candidate
146.75.118.172:80<->192.168.178.127:63004,192.168.178.127,63004,146.75.118.172,80,5,202,0,0,0,0,2026-07-13 19:28:02.515,2026-07-13 19:29:02.591,60.076,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63005<->142.251.13.94:80,142.251.13.94,80,192.168.178.127,63005,6,200,0,0,0,0,2026-07-13 19:28:02.545,2026-07-13 19:29:02.591,60.046,ignored_external_noise,low,not a EuroAion world/chat/login candidate
208.67.222.222:53<->192.168.178.127:57874,192.168.178.127,57874,208.67.222.222,53,4,118,0,0,0,0,2026-07-13 19:23:34.179,2026-07-13 19:23:34.216,0.037,ignored_external_noise,low,not a EuroAion world/chat/login candidate
208.67.222.222:53<->192.168.178.127:55938,192.168.178.127,55938,208.67.222.222,53,4,99,0,0,0,0,2026-07-13 19:23:34.158,2026-07-13 19:23:34.185,0.026,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57984<->116.203.174.73:443,116.203.174.73,443,192.168.178.127,57984,2,48,2,0,48,0,2026-07-13 19:23:35.280,2026-07-13 19:24:06.514,31.235,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57576<->142.251.127.188:5228,142.251.127.188,5228,192.168.178.127,57576,14,39,0,0,0,0,2026-07-13 19:23:26.381,2026-07-13 19:32:26.240,539.860,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:55938<->208.67.222.222:53,208.67.222.222,53,192.168.178.127,55938,6,38,0,0,0,0,2026-07-13 19:23:34.149,2026-07-13 19:23:34.185,0.036,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57874<->208.67.222.222:53,208.67.222.222,53,192.168.178.127,57874,6,38,0,0,0,0,2026-07-13 19:23:34.170,2026-07-13 19:23:34.216,0.046,ignored_external_noise,low,not a EuroAion world/chat/login candidate
142.251.127.188:5228<->192.168.178.127:57576,192.168.178.127,57576,142.251.127.188,5228,14,27,0,0,0,0,2026-07-13 19:23:26.391,2026-07-13 19:32:26.240,539.849,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:65330<->142.251.127.188:5228,142.251.127.188,5228,192.168.178.127,65330,13,13,0,0,0,0,2026-07-13 19:23:27.982,2026-07-13 19:32:28.185,540.202,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:53558<->35.190.80.1:443,35.190.80.1,443,192.168.178.127,53558,7,2,3,4,0,2,2026-07-13 19:23:55.659,2026-07-13 19:25:11.969,76.310,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50915<->3.233.158.117:443,3.233.158.117,443,192.168.178.127,50915,1,0,0,1,0,0,2026-07-13 19:23:24.320,2026-07-13 19:23:24.320,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50917<->3.233.158.116:443,3.233.158.116,443,192.168.178.127,50917,1,0,0,1,0,0,2026-07-13 19:23:24.586,2026-07-13 19:23:24.586,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50919<->3.233.158.115:443,3.233.158.115,443,192.168.178.127,50919,1,0,0,1,0,0,2026-07-13 19:23:24.840,2026-07-13 19:23:24.840,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
142.251.127.188:5228<->192.168.178.127:65330,192.168.178.127,65330,142.251.127.188,5228,13,0,0,0,0,0,2026-07-13 19:23:27.990,2026-07-13 19:32:28.192,540.202,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57876<->3.233.158.117:443,3.233.158.117,443,192.168.178.127,57876,1,0,0,1,0,0,2026-07-13 19:23:54.311,2026-07-13 19:23:54.311,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57878<->3.233.158.116:443,3.233.158.116,443,192.168.178.127,57878,1,0,0,1,0,0,2026-07-13 19:23:54.563,2026-07-13 19:23:54.563,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57880<->3.233.158.115:443,3.233.158.115,443,192.168.178.127,57880,1,0,0,1,0,0,2026-07-13 19:23:54.817,2026-07-13 19:23:54.817,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54903<->3.233.158.39:443,3.233.158.39,443,192.168.178.127,54903,1,0,0,1,0,0,2026-07-13 19:24:24.349,2026-07-13 19:24:24.349,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54905<->3.233.158.40:443,3.233.158.40,443,192.168.178.127,54905,1,0,0,1,0,0,2026-07-13 19:24:24.608,2026-07-13 19:24:24.608,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54907<->3.233.158.41:443,3.233.158.41,443,192.168.178.127,54907,1,0,0,1,0,0,2026-07-13 19:24:24.873,2026-07-13 19:24:24.873,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
