parser_id,oracle_id,channel,window_model,packet_count,total_bytes,score,confidence,reason
cm005,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm006,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm007,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
