filename,function_address,function_name,export_type,size,line_count,parse_status,target_association,keyslot_association,contains_store,contains_load,contains_call,local_only_source
1195D94A_entry.decomp.txt,1195D94A,entry,decompile,182,16,parsed,P622-GH-015,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
1195D94A_entry.disasm.txt,1195D94A,entry,disassembly,27,1,parsed,P622-GH-015,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
1195D94A_entry.pcode.txt,1195D94A,entry,p-code,46,1,parsed,P622-GH-015,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
1195DA7B_thunk_FUN_11b50330.decomp.txt,1195DA7B,thunk_FUN_11b50330,decompile,183,15,parsed,P622-GH-021,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
1195DA7B_thunk_FUN_11b50330.disasm.txt,1195DA7B,thunk_FUN_11b50330,disassembly,27,1,parsed,P622-GH-021,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
1195DA7B_thunk_FUN_11b50330.pcode.txt,1195DA7B,thunk_FUN_11b50330,p-code,46,1,parsed,P622-GH-021,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B45846_FUN_11b45846.decomp.txt,11B45846,FUN_11b45846,decompile,189,16,parsed,P622-GH-002,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B45846_FUN_11b45846.disasm.txt,11B45846,FUN_11b45846,disassembly,264,1,parsed,P622-GH-002,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B45846_FUN_11b45846.pcode.txt,11B45846,FUN_11b45846,p-code,1459,1,parsed,P622-GH-002,,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B50330_FUN_11b50330.decomp.txt,11B50330,FUN_11b50330,decompile,177,15,parsed,P622-GH-020,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B50330_FUN_11b50330.disasm.txt,11B50330,FUN_11b50330,disassembly,194,1,parsed,P622-GH-020,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B50330_FUN_11b50330.pcode.txt,11B50330,FUN_11b50330,p-code,1000,1,parsed,P622-GH-020,,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B503FD_tls_callback_0.decomp.txt,11B503FD,tls_callback_0,decompile,179,15,parsed,P622-GH-017,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B503FD_tls_callback_0.disasm.txt,11B503FD,tls_callback_0,disassembly,27,1,parsed,P622-GH-017,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B503FD_tls_callback_0.pcode.txt,11B503FD,tls_callback_0,p-code,46,1,parsed,P622-GH-017,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B52CE5_thunk_FUN_11b45846.decomp.txt,11B52CE5,thunk_FUN_11b45846,decompile,195,16,parsed,P622-GH-019,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B52CE5_thunk_FUN_11b45846.disasm.txt,11B52CE5,thunk_FUN_11b45846,disassembly,27,1,parsed,P622-GH-019,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B52CE5_thunk_FUN_11b45846.pcode.txt,11B52CE5,thunk_FUN_11b45846,p-code,46,1,parsed,P622-GH-019,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5586B_FUN_11b5586b.decomp.txt,11B5586B,FUN_11b5586b,decompile,67,8,parsed,P622-GH-011,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5586B_FUN_11b5586b.disasm.txt,11B5586B,FUN_11b5586b,disassembly,53,1,parsed,P622-GH-011,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5586B_FUN_11b5586b.pcode.txt,11B5586B,FUN_11b5586b,p-code,760,1,parsed,P622-GH-011,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5591A_FUN_11b5591a.decomp.txt,11B5591A,FUN_11b5591a,decompile,67,8,parsed,P622-GH-008,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5591A_FUN_11b5591a.disasm.txt,11B5591A,FUN_11b5591a,disassembly,126,1,parsed,P622-GH-008,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
