hypothesis_id,channel,direction,window_model,header_model,rows_tested,rows_plausible,repeat_consistent,message_length_signal,channel_signal,exact_text_match,confidence,reason
world_C2S_pm1_o004,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o005,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o006,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o007,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o008,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o009,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o010,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o011,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o012,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o013,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o014,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o015,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o016,group,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o017,local,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o001,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o002,whisper,C2S,pm3,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm3_o003,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o004,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o005,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o006,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o007,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o008,whisper,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o009,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o010,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o011,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o012,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o013,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o014,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o015,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o016,group,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm3_o017,local,C2S,pm3,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o001,whisper,C2S,pm5,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm5_o002,whisper,C2S,pm5,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm5_o003,whisper,C2S,pm5,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm5_o004,whisper,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o005,whisper,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o006,whisper,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o007,whisper,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o008,whisper,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o009,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o010,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
