packet_no,anchor_packet_no,tcp_stream,direction,payload_len,payload_hex,key_name,key8_hex,order_variant,status,length_le,length_sane,opcode_hex,opcode_complement_ok,utf16le_or_ascii_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii,notes
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_0_preupdate_0,tested,51490,no,77,no,no,,22c977662f0cb0d3c2f60f75747367,""".wf/......utsg",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_2_preupdate_0,tested,2331,no,CD,no,no,,1b09cd3075b67814d3d7954a02b994,...0u.x....J...,public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_0_preupdate_1,tested,51539,no,77,no,no,,53c977662f0cb0d3b3f60f75747367,S.wf/......utsg,public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_2_preupdate_1,tested,2331,no,B2,no,no,,1b09b23075b67814d3d7ea4a02b994,...0u.x....J...,public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_0_preupdate_0,tested,40121,no,22,no,no,,b99c22fd2f0cb0d359a35aee747367,"..""./...Y.Z.tsg",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_2_preupdate_0,tested,2331,no,56,no,no,,1b095665202d7814d3d70e1f572294,"..Ve -x.....W"".",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_0_preupdate_1,tested,40106,no,22,no,no,,aa9c22fd2f0cb0d34aa35aee747367,"..""./...J.Z.tsg",public staticKey XORpass only
