marker_index,marker_text,marker_len_ascii,occurrence_index,window_sec,packet_order,frame,time_delta_ms,direction,tcp_len,is_22_byte_c2s,is_s2c_batch,burst_group,confidence,reason
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,15,3,525,11963,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,5,1,535,3660,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,5,2,539,4490,S2C,113,false,true,post_s2c,high,10242 marker window safe metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,15,1,525,-6340,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,15,2,535,3660,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,15,3,539,4490,S2C,113,false,true,post_s2c,high,10242 marker window safe metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,15,4,555,13660,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,5,1,617,-2663,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,5,2,627,3388,S2C,131,false,true,post_s2c,high,10242 marker window safe metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,15,1,601,-12664,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,15,2,617,-2663,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,15,3,627,3388,S2C,131,false,true,post_s2c,high,10242 marker window safe metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,15,4,629,7338,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,5,1,645,2151,S2C,205,false,true,post_s2c,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,5,2,647,3765,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,15,1,627,-10185,S2C,131,false,true,pre_s2c,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,15,2,629,-6235,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,15,3,645,2151,S2C,205,false,true,post_s2c,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,15,4,647,3765,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,15,5,661,13766,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,5,1,690,-4737,S2C,207,false,true,pre_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,5,2,692,-3542,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,5,3,694,-2640,S2C,237,false,true,pre_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,5,4,696,-2520,S2C,131,false,true,pre_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,5,5,704,299,S2C,179,false,true,near_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,1,669,-13543,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,2,690,-4737,S2C,207,false,true,pre_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,3,692,-3542,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,4,694,-2640,S2C,237,false,true,pre_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,5,696,-2520,S2C,131,false,true,pre_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,6,704,299,S2C,179,false,true,near_s2c,high,10242 marker window safe metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,15,7,714,6459,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,5,1,714,-3901,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,1,692,-13902,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,2,694,-13000,S2C,237,false,true,pre_s2c,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,3,696,-12880,S2C,131,false,true,pre_s2c,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,4,704,-10061,S2C,179,false,true,pre_s2c,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,5,714,-3901,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,6,724,6099,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,7,730,7854,S2C,259,false,true,post_s2c,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,8,734,10548,S2C,219,false,true,post_s2c,high,10242 marker window safe metadata only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2,15,9,736,10570,S2C,141,false,true,post_s2c,high,10242 marker window safe metadata only
