direction,stream_offset_start,stream_offset_end,frame_number,tcp_payload_len,tcp_seq_delta,ts_relative,overlap_or_retx,gap_before
S2C,129352,129360,4278,8,129352,1700533248.000,false,false
S2C,129360,129374,4280,14,129360,1720624896.000,false,false
S2C,129374,129414,4283,40,129374,2061267200.000,false,false
S2C,129414,129454,4285,40,129414,2071042816.000,false,false
S2C,129454,129469,4288,15,129454,2092897792.000,false,false
S2C,129469,129508,4290,39,129469,2101134848.000,false,false
S2C,129508,129822,4293,314,129508,3038110464.000,false,false
S2C,129822,131282,4295,1460,129822,3038800640.000,false,false
S2C,131282,132742,4298,1460,131282,3038947584.000,false,false
S2C,132742,132841,4296,99,132742,3038806784.000,false,false
S2C,132841,132855,4300,14,132841,3054632448.000,false,false
S2C,132855,133180,4302,325,132855,3542013184.000,false,false
S2C,133180,133823,4304,643,133180,3542160128.000,false,false
S2C,133823,133837,4306,14,133823,3556752128.000,false,false
S2C,133837,133845,4309,8,133837,4435790080.000,false,false
S2C,133845,133860,4312,15,133845,4469880832.000,false,false
S2C,133860,133935,4318,75,133860,5503716608.000,false,false
S2C,133935,133950,4324,15,133935,5570898944.000,false,false
S2C,133950,133965,4327,15,133950,6537594624.000,false,false
S2C,133965,133979,4330,14,133965,6574409216.000,false,false
S2C,133979,134025,4332,46,133979,6574521600.000,false,false
S2C,134025,135485,4335,1460,134025,6585357824.000,false,false
S2C,135485,136180,4337,695,135485,6626125568.000,false,false
S2C,136180,136195,4340,15,136180,7550020608.000,false,false
S2C,136195,136216,4342,21,136195,8534207232.000,false,false
S2C,136216,136267,4344,51,136216,8534374144.000,false,false
S2C,136267,136346,4349,79,136267,12549785088.000,false,false
S2C,136346,137456,4351,1110,136346,12551142400.000,false,false
S2C,137456,137495,4354,39,137456,13018491904.000,false,false
S2C,137495,137516,4356,21,137495,14573438720.000,false,false
S2C,137516,137567,4358,51,137516,14574024192.000,false,false
S2C,137567,137608,4361,41,137567,17804316416.000,false,false
S2C,137608,137629,4385,21,137608,20575222272.000,false,false
S2C,137629,137680,4387,51,137629,20575502336.000,false,false
S2C,137680,137723,4390,43,137680,22560047360.000,false,false
S2C,137723,137738,4393,15,137723,22570016512.000,false,false
S2C,137738,137759,4395,21,137738,26568301056.000,false,false
S2C,137759,137810,4397,51,137759,26568581120.000,false,false
S2C,137810,137855,4400,45,137810,27619148544.000,false,false
S2C,137855,137908,4403,53,137855,32113131776.000,false,false
S2C,137908,137929,4405,21,137908,32567729408.000,false,false
S2C,137929,137980,4407,51,137929,32568729088.000,false,false
S2C,137980,137995,4410,15,137980,37579526144.000,false,false
S2C,137995,138064,4413,69,137995,38328029952.000,false,false
S2C,138064,138136,4415,72,138064,38570243840.000,false,false
S2C,138136,138193,4418,57,138136,43225509120.000,false,false
S2C,138193,138265,4420,72,138193,44573610496.000,false,false
S2C,138265,138334,4423,69,138265,47014838784.000,false,false
S2C,138334,138355,4425,21,138334,50572034048.000,false,false
S2C,138355,138406,4427,51,138355,50572686336.000,false,false
S2C,138406,138455,4430,49,138406,51693086720.000,false,false
S2C,138455,138470,4433,15,138455,52690163712.000,false,false
S2C,138470,138519,4436,49,138470,55198628608.000,false,false
S2C,138519,138542,4438,23,138519,56520642048.000,false,false
S2C,138542,138635,4440,93,138542,56521506560.000,false,false
S2C,138635,138978,4442,343,138635,56570309376.000,false,false
S2C,138978,139066,4444,88,138978,56570752512.000,false,false
S2C,139066,139087,4446,21,139066,62587825152.000,false,false
S2C,139087,139138,4448,51,139087,62588047872.000,false,false
S2C,139138,139169,4450,31,139138,63591011840.000,false,false
S2C,139169,139355,4452,186,139169,63591166208.000,false,false
S2C,139355,139370,4455,15,139355,67764231936.000,false,false
S2C,139370,139391,4457,21,139370,68602690048.000,false,false
S2C,139391,139442,4459,51,139391,68604260864.000,false,false
